,Layers Decomposed,Matrices Decomposed,Rank,Batch Size,Dataset Size,Total Inference Time(s),Benchmark,Parameter Reduction(%),Inference Time Per Batch
29,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,57.01001334190369,hellaswag,60.042921816712116,0.3632657162367419
30,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,73.47474360466003,hellaswag,33.02360699919167,0.46817837422324193
31,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,10044,48.428590536117554,hellaswag,75.05365227089014,0.308585204531215
32,[],"[1, 1, 1, 1, 1, 1, 1]",1,64,10044,92.88099694252014,hellaswag,0.0,0.5918343094704589
33,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,130.04077911376953,mmlu,75.05365227089014,0.2947934918985991
34,"[4, 8, 12, 16, 20, 24, 28]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,206.12452578544617,mmlu,21.015022635849245,0.4672701066261177
35,[],"[1, 1, 1, 1, 1, 1, 1]",1,32,14116,228.63404035568237,mmlu,0.0,0.5182976261959362
36,"[1, 3, 5, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,150.42185997962952,mmlu,60.042921816712116,0.34099599882035597
37,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,104.73785305023193,mmlu,96.06867490673937,0.2374335008222883
38,"[2, 17, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,223.8688588142395,mmlu,9.006438272506823,0.5074952877625152
39,"[0, 2, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,117.7421190738678,mmlu,84.06009054339695,0.26691327644968615
40,"[2, 5, 8, 11, 14, 17, 20, 23, 26, 29, 31]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,188.63989210128784,mmlu,33.02360699919167,0.4276336460216216
41,"[0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,167.88119196891785,mmlu,48.03433745336969,0.38057510222480667
42,"[2, 8, 14, 20, 26]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,215.04267573356628,mmlu,15.010730454178034,0.4874869384722387
43,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,32,14116,220.6866500377655,mmlu,6.004292181671211,0.500281439586887
44,"[2, 29]","[1, 1, 1, 1, 1, 1, 1]",1,64,2599,59.632853746414185,truthfulqa,6.004292181671211,1.4684504193037737
